batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
K Goel,middle,28,42,66.66666666666666,115.29482834079631,4842.382790313445,2010
K Gowtham,middle,75,55,136.36363636363635,128.0994972670749,7045.472349689119,2023
K Rabada,middle,65,75,86.66666666666667,114.90694191395825,8618.020643546868,2026
KA Jamieson,middle,12,22,54.54545454545454,118.54780791137662,2608.0517740502855,2025
KA Pollard,middle,1352,1086,124.49355432780847,124.68764583666567,135410.78337861891,2022
KB Arun Karthik,middle,26,22,118.18181818181819,124.99942081460243,2749.9872579212533,2013
KC Sangakkara,middle,963,810,118.88888888888889,120.22375553907337,97381.24198664943,2013
KD Karthik,middle,2536,2074,122.27579556412729,122.57596928901222,254222.56030541135,2024
KH Pandya,middle,969,807,120.07434944237917,121.18250929817238,97794.2850036251,2026
KK Cooper,middle,30,22,136.36363636363635,126.84273878695267,2790.5402533129586,2014
KK Nair,middle,805,654,123.08868501529051,123.70421003152971,80902.55336062043,2025
KL Rahul,middle,2351,1715,137.08454810495627,135.92925356898886,233118.66987081588,2026
KM Jadhav,middle,572,488,117.21311475409837,119.6557457053715,58392.003904221296,2023
KP Pietersen,middle,486,380,127.89473684210526,127.17369446394562,48326.003896299335,2016
KR Mayers,middle,97,58,167.24137931034483,135.27618307023212,7846.018618073463,2023
KS Bharat,middle,102,85,120.0,124.01740827417402,10541.47970330479,2021
KS Williamson,middle,1188,937,126.78762006403414,126.61207978513139,118635.51875866811,2024
KV Sharma,middle,97,105,92.38095238095238,114.08291438922909,11978.706010869055,2023
Kamran Akmal,middle,51,20,254.99999999999997,137.7901131012499,2755.8022620249976,2008
Kartik Sharma,middle,34,32,106.25,123.0170674747521,3936.546159192067,2026
Kuldeep Yadav,middle,20,36,55.55555555555556,114.82629574358756,4133.746646769152,2024
LA Carseldine,middle,23,20,114.99999999999999,124.76685728729642,2495.3371457459284,2009
LA Pomersbach,middle,131,117,111.96581196581197,120.59254588707927,14109.327868788274,2013
LMP Simmons,middle,481,356,135.1123595505618,131.8055795222663,46922.7863099268,2017
LR Shukla,middle,184,181,101.65745856353593,114.16189977864025,20663.303859933883,2014
LRPL Taylor,middle,550,501,109.78043912175647,114.25987689190909,57244.19832284645,2014
LS Livingstone,middle,541,390,138.7179487179487,134.401494558579,52416.58287784581,2026
Lalit Yadav,middle,180,177,101.69491525423729,114.31417827088369,20233.60955394641,2024
M Jansen,middle,33,32,103.125,122.57653884039088,3922.449242892508,2026
M Kaif,middle,183,167,109.5808383233533,118.30075778112908,19756.226549448555,2012
M Kartik,middle,34,31,109.6774193548387,123.5613907821625,3830.4031142470376,2011
M Klinger,middle,22,27,81.48148148148148,120.38231674220148,3250.32255203944,2011
M Manhas,middle,224,232,96.55172413793103,109.89431924301809,25495.482064380198,2014
M Rawat,middle,15,22,68.18181818181817,119.9302963906393,2638.4665205940646,2013
M Shahrukh Khan,middle,346,255,135.68627450980392,131.3886095928194,33504.09544616895,2026
M Vijay,middle,920,702,131.05413105413106,129.90509957276336,91193.37990007988,2020
M Vohra,middle,330,261,126.4367816091954,126.15104016835248,32925.421483939994,2018
MA Agarwal,middle,1092,781,139.82074263764403,137.01319089832862,107007.30209159465,2025
MA Starc,middle,37,35,105.71428571428572,122.71684485551621,4295.0895699430675,2014
MC Henriques,middle,504,444,113.51351351351352,117.25332443938767,52060.476051088124,2021
MC Juneja,middle,88,94,93.61702127659575,115.31098379504749,10839.232476734463,2013
MD Choudhary,middle,49,38,128.94736842105263,126.28701423505892,4798.906540932239,2026
MD Mishra,middle,80,64,125.0,125.57866531570939,8037.034580205401,2011
MEK Hussey,middle,887,708,125.2824858757062,125.38745771513702,88774.32006231701,2015
MF Maharoof,middle,42,34,123.52941176470588,125.43613238763636,4264.828501179636,2010
MG Bracewell,middle,43,32,134.375,126.9818251840032,4063.4184058881024,2023
MG Johnson,middle,10,20,50.0,118.72034565938942,2374.4069131877886,2017
MJ Clarke,middle,22,30,73.33333333333333,118.7772191856388,3563.316575569164,2012
MJ Guptill,middle,52,40,130.0,126.48882687986693,5059.553075194677,2019
MJ Lumb,middle,53,40,132.5,126.91435879476055,5076.574351790422,2010
MJ Santner,middle,21,29,72.41379310344827,118.86104605700325,3446.9703356530945,2025
MK Lomror,middle,265,192,138.02083333333331,131.84722045676673,25314.66632769921,2024
MK Pandey,middle,2098,1783,117.6668536174986,118.46555829968086,211224.09044833097,2025
MK Tiwary,middle,870,806,107.94044665012407,111.41346085591282,89799.24944986573,2018
ML Hayden,middle,411,293,140.2730375426621,134.4772014687884,39401.820030355,2010
MM Ali,middle,655,484,135.3305785123967,132.58449825739135,64170.89715657741,2025
MM Sharma,middle,36,47,76.59574468085107,116.21848891226747,5462.268978876571,2024
MN Samuels,middle,127,130,97.6923076923077,114.53807482082685,14889.949726707491,2017
MN van Wyk,middle,69,63,109.52380952380953,121.8018384370881,7673.51582153655,2009
MP Stoinis,middle,872,676,128.99408284023667,128.2719567356702,86711.84275331305,2026
MR Marsh,middle,641,478,134.10041841004184,131.68629170396542,62946.04743449547,2026
MS Bisla,middle,268,234,114.52991452991452,119.63840167078959,27995.385990964765,2013
MS Dhoni,middle,1908,1898,100.52687038988408,102.87858304671225,195263.55062265985,2025
MS Wade,middle,70,79,88.60759493670885,115.05428582762309,9089.288580382225,2024
MV Boucher,middle,137,138,99.27536231884058,114.78941236266887,15840.938906048304,2011
MW Short,middle,37,38,97.36842105263158,121.13679964278423,4603.198386425801,2026
Mandeep Singh,middle,662,559,118.4257602862254,120.32476699836701,67261.54475208715,2023
Misbah-ul-Haq,middle,48,42,114.28571428571428,123.73364690619717,5196.813170060281,2008
